,Movie Names,Ratings,Year,Duration (Minutes),Classification
0,The Shawshank Redemption,9.3,1994,142,R
1,The Godfather,9.2,1972,175,R
2,The Dark Knight,9.0,2008,152,PG-13
3,The Godfather Part II,9.0,1974,202,R
4,12 Angry Men,9.0,1957,96,Approved
5,Schindler's List,9.0,1993,195,R
6,The Lord of the Rings: The Return of the King,9.0,2003,201,PG-13
7,Pulp Fiction,8.9,1994,154,R
8,The Lord of the Rings: The Fellowship of the Ring,8.9,2001,178,PG-13
9,"The Good, the Bad and the Ugly",8.8,1966,178,R
10,Forrest Gump,8.8,1994,142,PG-13
11,The Lord of the Rings: The Two Towers,8.8,2002,179,PG-13
12,Fight Club,8.8,1999,139,R
13,Inception,8.8,2010,148,PG-13
14,Star Wars: Episode V - The Empire Strikes Back,8.7,1980,124,PG
15,The Matrix,8.7,1999,136,R
16,Goodfellas,8.7,1990,145,R
17,One Flew Over the Cuckoo's Nest,8.7,1975,133,R
18,Dune: Part Two,8.7,2024,166,PG-13
19,Se7en,8.6,1995,127,R
20,Interstellar,8.7,2014,169,PG-13
21,It's a Wonderful Life,8.6,1946,130,PG
22,Seven Samurai,8.6,1954,207,Not Rated
23,The Silence of the Lambs,8.6,1991,118,R
24,Saving Private Ryan,8.6,1998,169,R
25,City of God,8.6,2002,130,R
26,Life Is Beautiful,8.6,1997,116,PG-13
27,The Green Mile,8.6,1999,189,R
28,Terminator 2: Judgment Day,8.6,1991,137,R
29,Star Wars: Episode IV - A New Hope,8.6,1977,121,PG
30,Back to the Future,8.5,1985,116,PG
31,Spirited Away,8.6,2001,125,PG
32,The Pianist,8.5,2002,150,R
33,Parasite,8.5,2019,132,R
34,Psycho,8.5,1960,109,R
35,Spider-Man: Across the Spider-Verse,8.6,2023,140,PG
36,Gladiator,8.5,2000,155,R
37,The Lion King,8.5,1994,88,G
38,Léon: The Professional,8.5,1994,110,R
39,The Departed,8.5,2006,151,R
40,American History X,8.5,1998,119,R
41,Whiplash,8.5,2014,106,R
42,The Prestige,8.5,2006,130,PG-13
43,Grave of the Fireflies,8.5,1988,89,Not Rated
44,Harakiri,8.6,1962,133,Not Rated
45,The Usual Suspects,8.5,1995,106,R
46,Casablanca,8.5,1942,102,PG
47,The Intouchables,8.5,2011,112,R
48,Cinema Paradiso,8.5,1988,174,PG
49,Modern Times,8.5,1936,87,G
50,Rear Window,8.5,1954,112,PG
51,Once Upon a Time in the West,8.5,1968,166,PG-13
52,Alien,8.5,1979,117,R
53,City Lights,8.5,1931,87,G
